County,Families Below the Living Wage,Number of Families,Living Wage,% of Families Below the Living Wage
Colusa,266.0833333333333,524.8333333333334,20.799999999999997,50.7
Lake,227.05555555555554,457.1388888888889,21.125000000000007,49.67
Modoc,117.5,237.625,20.549999999999997,49.45
Plumas,156.3125,317.75,21.14,49.19
Tehama,355.6363636363636,727.0,20.340000000000007,48.92
Imperial,752.5277777777778,1569.9444444444443,20.83,47.93
Trinity,73.07142857142857,153.14285714285714,20.369999999999994,47.71
Mendocino,358.65384615384613,761.7307692307693,21.744999999999997,47.08
Siskiyou,151.65625,325.75,20.27000000000001,46.56
Del Norte,124.6,268.9,20.710000000000004,46.34
Merced,1008.1315789473684,2188.657894736842,20.49000000000002,46.06
Tulare,968.5147058823529,2103.0588235294117,19.560000000000024,46.05
Fresno,1993.7575757575758,4364.469696969697,20.789999999999974,45.68
Madera,627.3,1384.1333333333334,20.939999999999994,45.32
Los Angeles,4952.600746268657,11074.220149253732,25.049999999999862,44.72
Kern,1147.2857142857142,2639.122448979592,20.489999999999974,43.47
Yuba,352.5357142857143,815.0357142857143,20.229999999999997,43.25
Humboldt,300.7708333333333,699.5833333333334,21.25500000000002,42.99
Shasta,591.3125,1463.25,20.69999999999999,40.41
Butte,549.4,1373.6,20.880000000000013,40.0
Monterey,713.4090909090909,1787.3181818181818,22.882575757575772,39.92
Kings,569.125,1457.8125,20.429999999999996,39.04
Santa Cruz,563.42,1460.2,26.785000000000014,38.59
Stanislaus,1073.3,2785.4166666666665,21.454999999999984,38.53
San Bernardino,2564.65625,6781.78125,22.75999999999995,37.82
Santa Barbara,885.2,2342.18,23.870000000000008,37.79
Glenn,215.64285714285714,575.3571428571429,20.095000000000006,37.48
San Joaquin,1604.4615384615386,4314.173076923077,21.57999999999999,37.19
Sacramento,2599.5806451612902,7189.225806451613,22.254999999999992,36.16
Riverside,2015.405172413793,5737.801724137931,22.759999999999955,35.13
Sutter,555.7,1586.2,20.23,35.03
Tuolumne,123.03333333333333,352.76666666666665,21.664999999999996,34.88
San Diego,2946.7545454545457,8447.763636363636,24.345000000000027,34.88
Mariposa,109.4,318.7,21.365,34.33
Yolo,742.6538461538462,2271.1923076923076,22.350000000000005,32.7
San Francisco,2594.8,7948.2,27.550000000000004,32.65
Inyo,62.208333333333336,193.0,20.429999999999996,32.23
Napa,482.2307692307692,1509.3076923076924,24.535,31.95
Amador,126.5,403.27777777777777,22.444999999999993,31.37
Orange,3219.4239130434785,10285.054347826086,26.330000000000005,31.3
San Luis Obispo,468.3181818181818,1498.2954545454545,23.14000000000001,31.26
Nevada,281.03846153846155,903.8076923076923,22.830000000000002,31.09
Mono,142.0,457.375,23.165,31.05
Solano,1187.5294117647059,3832.529411764706,23.510000000000016,30.99
Sonoma,701.45,2285.5833333333335,24.214999999999975,30.69
Alameda,2400.7241379310344,8062.137931034483,24.734999999999985,29.78
San Benito,329.0625,1134.25,23.445000000000004,29.01
Ventura,1403.5740740740741,4906.722222222223,25.489999999999984,28.61
Lassen,109.44444444444444,395.0,20.989999999999995,27.71
Contra Costa,995.3409090909091,3940.193181818182,24.73499999999996,25.26
Calaveras,90.0,390.125,20.87499999999999,23.07
Santa Clara,2058.181818181818,8984.818181818182,25.184999999999988,22.91
San Mateo,688.0945945945946,3011.689189189189,27.55000000000005,22.85
Marin,306.0740740740741,1427.7592592592594,27.550000000000022,21.44
Sierra,17.5,83.33333333333333,22.289999999999996,21.0
El Dorado,381.10714285714283,1873.107142857143,22.255,20.35
Placer,469.27272727272725,2594.0454545454545,22.25500000000002,18.09
Alpine,2.75,34.5,21.365000000000002,7.97
