Race,Geoname,County,Families Below the Living Wage,Number of Families,Living Wage
AIAN,Alameda,Alameda,71,320,22.64
Asian,Alameda,Alameda,5735,41863,22.64
AfricanAm,Alameda,Alameda,1149,6431,22.64
Latino,Alameda,Alameda,9281,25776,22.64
NHOPI,Alameda,Alameda,118,1046,22.64
White,Alameda,Alameda,3025,41821,22.64
Multiple,Alameda,Alameda,337,2445,22.64
Other,Alameda,Alameda,88,398,22.64
Total,Alameda,Alameda,19803,120100,22.64
White,Alpine,Alpine,0,58,19.28
Total,Alpine,Alpine,3,66,19.28
AfricanAm,Amador,Amador,0,0,20.36
Latino,Amador,Amador,44,188,20.36
White,Amador,Amador,290,2054,20.36
Multiple,Amador,Amador,0,18,20.36
Total,Amador,Amador,364,2303,20.36
AIAN,Butte,Butte,34,94,18.8
Asian,Butte,Butte,299,731,18.8
AfricanAm,Butte,Butte,31,94,18.8
Latino,Butte,Butte,882,2212,18.8
NHOPI,Butte,Butte,14,29,18.8
White,Butte,Butte,1611,10599,18.8
Multiple,Butte,Butte,61,326,18.8
Total,Butte,Butte,2935,14088,18.8
Latino,Calaveras,Calaveras,66,288,18.79
White,Calaveras,Calaveras,272,2547,18.79
Multiple,Calaveras,Calaveras,16,49,18.79
Total,Calaveras,Calaveras,366,3027,18.79
Latino,Colusa,Colusa,461,929,18.72
White,Colusa,Colusa,48,658,18.72
Total,Colusa,Colusa,513,1609,18.72
AIAN,Contra Costa,Contra Costa,0,205,22.64
Asian,Contra Costa,Contra Costa,1863,16588,22.64
AfricanAm,Contra Costa,Contra Costa,669,4696,22.64
Latino,Contra Costa,Contra Costa,8109,23615,22.64
NHOPI,Contra Costa,Contra Costa,83,346,22.64
White,Contra Costa,Contra Costa,2747,46580,22.64
Multiple,Contra Costa,Contra Costa,112,1743,22.64
Other,Contra Costa,Contra Costa,66,311,22.64
Total,Contra Costa,Contra Costa,13649,94084,22.64
AIAN,Del Norte,Del Norte,0,12,18.63
Asian,Del Norte,Del Norte,7,32,18.63
AfricanAm,Del Norte,Del Norte,0,0,18.63
Latino,Del Norte,Del Norte,94,310,18.63
White,Del Norte,Del Norte,214,1008,18.63
Multiple,Del Norte,Del Norte,24,69,18.63
Total,Del Norte,Del Norte,340,1436,18.63
AIAN,El Dorado,El Dorado,0,112,20.17
Asian,El Dorado,El Dorado,38,780,20.17
Latino,El Dorado,El Dorado,515,1933,20.17
White,El Dorado,El Dorado,907,12672,20.17
Multiple,El Dorado,El Dorado,36,198,20.17
Total,El Dorado,El Dorado,1510,15877,20.17
AIAN,Fresno,Fresno,21,149,18.71
Asian,Fresno,Fresno,2433,7810,18.71
AfricanAm,Fresno,Fresno,470,1890,18.71
Latino,Fresno,Fresno,15710,36122,18.71
NHOPI,Fresno,Fresno,19,148,18.71
White,Fresno,Fresno,3062,25010,18.71
Multiple,Fresno,Fresno,155,960,18.71
Other,Fresno,Fresno,68,237,18.71
Total,Fresno,Fresno,21939,72326,18.71
AIAN,Glenn,Glenn,2,26,18.02
Latino,Glenn,Glenn,452,1084,18.02
White,Glenn,Glenn,300,1312,18.02
Total,Glenn,Glenn,781,2491,18.02
